persona_id,run_index,age,age_group,position,skill_level,coach_relationship,teammate_relationship,bullying,parent_support,current_mood,stress_level,overall_satisfaction,Q1_sat,Q1_imp,Q2_sat,Q2_imp,Q3_sat,Q3_imp,Q4_sat,Q4_imp,Q5_sat,Q5_imp,Q6_sat,Q6_imp,Q7_sat,Q7_imp,Q8_sat,Q8_imp,Q9_sat,Q9_imp,Q10_sat,Q10_imp,Q11_sat,Q11_imp,Q12_sat,Q12_imp,Q13_sat,Q13_imp,Q14_sat,Q14_imp,Q15_sat,Q15_imp,Q16_sat,Q16_imp,Q17_sat,Q17_imp,Q18_sat,Q18_imp,Q19_sat,Q19_imp,Q20_sat,Q20_imp,Q21_sat,Q21_imp,Q22_sat,Q22_imp,Q23_sat,Q23_imp,Q24_sat,Q24_imp,Q25_sat,Q25_imp,Q26_sat,Q26_imp,Q27_sat,Q27_imp,Q28_sat,Q28_imp,Q29_sat,Q29_imp,Q30_sat,Q30_imp,Q31_sat,Q31_imp,Q32_sat,Q32_imp,Q33_sat,Q33_imp,Q34_sat,Q34_imp,Q35_sat,Q35_imp,Q36_sat,Q36_imp,Q37_sat,Q37_imp,Q38_sat,Q38_imp,Q39_sat,Q39_imp,Q40_sat,Q40_imp,Q41_sat,Q41_imp,Q42_sat,Q42_imp,Q43_sat,Q43_imp,Q44_sat,Q44_imp,Q45_sat,Q45_imp,Q46_sat,Q46_imp,Q47_sat,Q47_imp,Q48_sat,Q48_imp,Q49_sat,Q49_imp,Q50_sat,Q50_imp,Q51_sat,Q51_imp,Q52_sat,Q52_imp,Q53_sat,Q53_imp,Q54_sat,Q54_imp,Q55_sat,Q55_imp,Q56_sat,Q56_imp,Q57_sat,Q57_imp,Q58_sat,Q58_imp,Q59_sat,Q59_imp,Q60_sat,Q60_imp,Q61_sat,Q61_imp,Q62_sat,Q62_imp,Q63_sat,Q63_imp,Q64_sat,Q64_imp,Q65_sat,Q65_imp,Q66_sat,Q66_imp,Q67_sat,Q67_imp
child_10,0,10,U8,mixed,high,bad,strong,none,high,happy,42,70,8,7,7,5,5,4,6,8,7,9,8,6,6,5,7,9,6,8,3,9,2,7,4,8,4,8,3,9,3,9,5,8,3,8,4,7,3,6,1,10,1,10,8,8,7,6,7,5,8,8,9,9,5,4,7,7,6,6,5,5,7,8,6,7,6,5,7,7,7,8,5,6,6,7,4,5,4,5,6,8,5,7,6,7,5,6,6,7,5,6,4,5,6,6,5,4,5,4,4,5,4,5,3,3,3,5,4,4,4,4,3,2,3,2,5,5,4,3,2,2,5,4,6,6,3,2,4,4,6,7,5,6,5,6
child_11,0,7,U10,mixed,low,good,average,none,high,happy,45,69,8,9,7,8,6,7,5,6,6,8,7,8,9,10,5,7,4,6,9,9,8,8,7,8,8,8,7,9,8,8,7,7,9,9,7,8,8,8,9,9,9,9,6,7,7,7,6,7,7,8,9,9,6,6,7,7,6,6,7,7,6,8,7,8,9,10,6,7,5,8,8,9,7,8,5,6,5,6,5,7,5,6,5,7,6,6,6,7,7,8,5,6,6,7,6,7,6,7,5,6,5,6,6,6,7,7,6,6,6,6,5,5,5,5,6,6,5,5,4,5,5,5,7,8,5,5,6,7,7,8,7,8,7,8
child_12,0,9,U8,midfielder,high,good,average,mild,high,excited,49,78,9,8,10,9,8,7,6,7,9,9,10,9,7,6,9,9,8,8,9,10,8,9,9,8,8,9,9,9,9,9,9,8,8,9,8,8,8,8,9,10,9,10,7,8,6,7,6,7,7,8,8,9,10,9,7,8,10,9,10,10,9,9,9,9,7,6,8,8,7,8,9,8,8,8,7,6,6,5,10,10,9,9,10,10,9,9,9,9,9,8,8,7,9,8,9,8,10,9,8,7,10,9,6,5,9,8,6,5,6,5,5,4,5,4,8,7,7,6,4,3,7,6,9,8,5,4,8,7,10,9,9,8,10,9
child_13,0,7,U9,goalkeeper,medium,good,average,none,high,excited,58,60,8,9,9,10,7,8,5,7,6,9,8,9,9,10,8,9,8,8,8,9,9,10,7,8,8,9,8,9,9,9,8,8,9,9,8,8,8,8,9,9,9,9,7,8,6,7,7,8,8,9,9,9,8,10,8,8,9,9,9,9,7,8,8,9,9,10,8,9,6,7,9,10,8,9,6,7,5,6,9,10,7,8,9,10,8,8,8,9,7,8,7,6,9,10,8,9,8,9,7,8,8,9,6,5,9,10,6,5,5,4,4,3,5,4,7,8,6,7,3,2,5,6,8,9,4,3,7,8,9,10,8,9,8,9
child_14,0,9,U7,goalkeeper,medium,good,average,mild,high,excited,24,81,9,7,6,8,5,6,8,8,9,9,5,4,8,8,10,10,9,9,8,9,8,8,8,8,9,9,8,8,7,8,9,9,10,10,9,9,7,7,10,10,10,10,6,7,5,6,6,6,7,8,8,8,5,4,6,7,7,7,6,7,8,8,8,9,9,9,7,8,9,9,8,8,8,8,7,6,7,6,10,10,9,8,9,9,8,7,10,10,9,9,7,6,8,7,4,3,4,3,3,2,3,2,3,2,5,4,4,3,4,3,2,2,2,2,3,3,3,2,2,2,4,4,5,5,2,2,3,3,6,7,8,8,9,9
child_15,0,7,U8,defender,medium,neutral,average,mild,high,excited,47,64,8,9,5,7,4,6,6,8,7,9,4,5,7,8,9,10,8,9,6,8,6,7,5,7,6,8,7,9,5,7,7,8,7,8,6,7,6,7,6,8,6,8,5,7,5,6,5,6,7,8,6,8,4,5,5,7,6,7,5,6,8,9,7,9,7,8,6,7,7,8,6,8,6,7,6,7,5,6,9,10,8,9,8,9,7,8,7,8,6,7,5,6,7,8,4,5,4,5,3,4,2,3,5,6,6,7,5,6,5,6,2,3,1,2,2,3,3,4,1,2,3,4,7,8,4,5,4,5,3,4,5,6,6,7
child_16,0,10,U10,mixed,high,good,strong,none,low,excited,46,86,9,8,10,9,7,6,8,8,9,9,9,8,6,5,10,10,9,9,8,9,8,8,9,9,8,8,9,9,9,10,8,8,9,9,8,9,8,7,9,9,9,10,10,9,9,8,9,8,10,10,10,10,7,6,8,8,9,9,10,10,9,9,9,10,6,5,8,9,9,9,8,7,8,8,8,7,7,6,10,10,9,8,10,10,8,8,9,9,9,9,7,6,8,7,6,5,6,5,5,4,6,5,6,5,7,6,6,5,6,5,5,4,5,4,7,6,6,5,5,4,5,4,8,8,5,4,6,5,7,6,9,9,9,9
child_17,0,8,U9,goalkeeper,medium,good,average,mild,low,happy,31,67,8,10,9,10,7,9,6,8,7,9,8,10,6,9,5,8,4,7,9,9,8,8,9,9,8,8,8,9,9,8,8,8,9,9,8,8,8,7,10,10,10,10,7,8,6,7,6,8,7,9,8,9,9,10,7,8,8,8,9,9,7,8,7,9,6,9,7,9,6,7,8,9,7,8,6,7,5,6,5,8,6,7,5,8,6,7,6,8,5,8,7,6,8,9,8,8,8,8,7,7,8,9,6,7,7,7,7,6,7,6,5,5,6,5,8,8,7,6,4,4,6,6,8,9,5,5,6,7,9,10,7,8,8,9
child_18,0,9,U9,goalkeeper,medium,good,strong,none,low,anxious,51,63,8,8,9,9,7,8,7,9,6,8,9,9,7,8,6,8,5,7,9,9,8,8,8,7,7,8,8,9,9,8,8,9,8,8,7,8,8,8,9,8,9,8,9,9,8,8,7,8,9,9,9,9,8,9,8,8,9,9,9,9,8,9,7,8,8,8,7,8,8,9,7,8,7,8,6,7,6,7,6,8,5,7,6,8,7,8,7,8,7,8,7,6,7,7,8,8,8,8,7,7,8,8,6,6,8,7,6,6,5,5,5,5,6,6,7,7,6,6,5,5,6,6,7,7,5,5,7,7,9,9,8,8,8,8
child_19,0,8,U8,goalkeeper,medium,good,average,none,low,neutral,58,40,6,7,5,5,4,4,7,8,7,8,5,4,6,7,6,8,5,7,8,9,7,8,6,7,7,8,7,9,8,9,7,8,6,7,7,8,8,8,8,9,8,9,5,5,6,6,5,5,5,6,7,8,4,4,5,6,5,6,6,7,7,8,7,9,6,7,7,8,6,7,6,7,6,6,5,7,5,6,6,8,6,7,5,6,6,7,6,7,5,6,5,5,4,5,3,3,3,3,3,4,3,3,4,4,4,5,5,5,4,4,3,3,3,3,3,4,4,4,3,3,4,4,5,5,3,3,4,4,5,6,6,7,6,7
child_20,0,7,U8,mixed,high,neutral,average,none,medium,excited,16,76,9,10,10,10,8,9,7,8,9,9,10,10,8,9,10,10,10,9,7,8,7,8,8,9,8,9,9,9,7,7,8,8,8,8,9,9,8,8,9,8,9,8,9,9,8,9,9,9,10,10,10,10,10,10,8,8,10,10,10,10,8,9,9,9,9,9,8,8,8,9,9,9,9,9,7,7,7,7,10,10,8,8,10,10,8,8,9,9,9,9,8,7,9,9,10,10,10,10,8,8,9,9,8,7,9,9,7,6,7,6,5,4,6,5,8,9,7,7,4,3,6,6,10,10,6,5,9,9,10,10,7,7,8,8
child_21,0,8,U8,midfielder,medium,neutral,average,none,medium,happy,40,78,9,10,10,10,8,7,9,9,7,9,8,8,8,9,7,10,6,8,7,8,7,8,6,9,6,8,7,9,8,7,8,8,8,9,7,8,7,8,6,9,7,9,8,9,9,8,9,8,8,9,9,9,8,7,8,8,9,8,9,8,8,9,9,9,8,9,8,9,9,10,8,8,9,8,7,7,7,7,7,10,6,8,7,9,8,8,8,9,7,8,6,7,8,8,7,7,7,7,6,6,6,6,7,6,8,7,8,6,8,6,5,5,5,5,6,7,5,5,4,4,5,5,8,8,6,6,7,7,8,8,9,9,9,9
child_22,0,9,U9,mixed,medium,neutral,isolated,none,high,neutral,63,22,6,8,5,7,4,6,5,9,7,10,3,5,6,8,7,9,6,8,5,7,5,7,4,8,6,8,5,8,4,6,6,9,5,7,5,8,4,7,5,8,6,8,4,7,5,6,3,6,4,6,6,7,3,5,4,6,5,7,3,5,7,9,8,10,6,9,7,8,6,8,5,7,6,8,6,8,5,7,6,9,5,7,6,9,7,8,6,9,5,8,4,5,5,6,4,5,4,5,3,5,2,4,3,5,5,7,4,5,3,4,2,3,1,2,3,5,4,6,2,3,5,6,6,8,3,4,4,6,2,3,3,5,3,5
child_23,0,9,U8,goalkeeper,medium,neutral,isolated,none,high,anxious,66,50,6,8,5,9,4,7,6,8,7,9,5,8,6,8,5,9,4,8,5,7,5,7,4,7,5,7,6,8,5,7,5,8,4,8,5,7,5,7,3,8,4,8,4,8,3,8,4,7,4,8,6,9,5,7,4,7,5,7,4,7,6,8,6,9,6,8,6,8,6,8,5,7,6,8,5,7,5,7,5,9,4,8,5,9,5,7,5,8,6,8,5,6,5,7,5,7,5,7,4,6,5,7,5,5,5,6,6,5,5,5,4,4,4,5,4,6,4,5,3,4,3,5,5,6,3,4,4,6,5,7,5,6,5,7
child_24,0,10,U9,goalkeeper,high,good,isolated,none,low,frustrated,66,25,5,8,6,9,4,7,3,6,7,9,3,8,8,8,2,10,2,9,8,9,7,9,6,8,7,8,6,9,4,8,6,7,7,9,5,7,8,6,7,9,8,10,3,9,4,8,5,8,3,9,6,9,3,7,4,8,5,7,2,8,4,9,6,10,7,8,5,9,6,8,5,8,4,8,6,7,5,6,2,10,3,9,2,10,5,8,4,9,3,10,6,5,5,6,3,8,3,8,2,7,3,6,6,5,5,6,5,5,5,5,3,4,2,5,4,7,4,6,2,3,4,6,3,8,4,6,2,7,3,6,5,7,5,7
child_25,0,7,U8,forward,low,neutral,average,none,low,excited,34,62,8,9,7,8,6,7,9,9,8,9,7,7,9,10,9,8,8,7,6,6,6,7,7,8,7,7,7,8,6,7,6,6,6,7,7,7,6,6,6,6,7,6,7,7,7,7,7,7,7,8,8,8,6,6,7,7,8,8,8,8,7,8,7,8,9,9,7,8,8,8,9,9,7,7,6,6,5,5,9,8,8,7,8,8,7,7,7,8,8,8,7,6,6,7,5,5,6,6,5,5,5,5,6,6,7,7,6,6,6,6,5,5,5,5,6,7,6,6,5,5,7,6,7,7,5,5,5,5,7,7,6,6,7,7
child_26,0,9,U8,goalkeeper,medium,good,average,mild,high,excited,41,93,8,7,9,9,7,6,8,8,9,9,7,5,8,8,9,10,9,9,8,9,8,9,9,8,8,8,9,9,7,8,8,9,7,8,9,9,8,8,9,9,9,10,7,7,7,6,6,6,8,8,9,9,7,6,8,7,9,8,9,9,8,8,8,9,8,8,9,8,8,8,9,8,8,7,7,6,7,6,9,10,8,8,9,9,8,7,9,9,8,8,7,6,8,7,6,5,7,6,6,5,5,4,6,5,7,6,6,5,6,5,5,4,5,4,6,5,5,4,4,3,6,5,8,7,5,4,7,6,7,8,8,7,8,7
child_27,0,7,U8,goalkeeper,high,neutral,strong,none,medium,excited,39,69,8,9,10,10,8,8,7,9,9,7,10,10,6,5,9,8,8,7,7,8,7,8,8,9,7,8,7,8,8,8,6,7,8,9,7,8,7,6,8,9,9,10,9,9,9,9,10,9,10,10,9,9,10,10,8,8,10,10,10,10,7,6,6,5,6,5,7,6,8,8,7,6,8,7,6,5,6,5,10,9,8,7,9,8,7,6,9,8,8,8,6,5,9,9,10,9,10,9,8,7,9,8,7,6,8,7,6,5,6,5,5,4,6,5,10,9,7,6,4,3,7,6,9,8,5,4,8,7,10,9,8,7,9,8
child_28,0,7,U8,forward,medium,bad,average,frequent,medium,excited,32,12,8,9,5,6,3,5,4,7,7,8,5,6,9,10,8,9,7,8,2,10,2,9,2,8,3,8,3,9,2,10,4,7,2,8,3,8,3,7,2,9,2,10,5,7,5,6,4,6,6,8,6,8,5,7,5,7,6,8,6,7,8,9,8,9,9,10,7,8,5,7,9,10,6,7,4,6,4,6,8,9,7,8,8,9,6,7,7,8,7,8,5,6,5,7,4,6,4,6,4,5,5,6,4,5,5,6,3,5,3,5,2,4,3,5,5,7,4,6,3,5,4,6,6,7,5,6,5,7,5,6,4,6,5,6
child_29,0,10,U8,goalkeeper,low,bad,average,mild,medium,frustrated,83,16,5,8,6,10,4,7,5,9,7,9,5,8,4,6,3,7,3,5,2,10,2,9,2,8,2,7,2,9,2,10,3,8,2,10,3,6,2,7,1,10,1,10,6,8,5,7,5,6,6,8,7,9,6,7,5,8,5,7,4,6,5,7,4,8,4,5,5,6,6,9,5,7,5,7,4,6,4,5,2,8,3,7,2,7,4,6,5,8,5,7,5,5,6,6,5,8,5,8,5,7,5,7,5,5,5,6,5,5,5,5,4,4,5,6,5,7,4,5,3,4,4,5,6,7,3,4,4,6,6,7,5,6,5,6
child_30,0,10,U10,goalkeeper,medium,good,isolated,none,medium,excited,41,43,7,8,8,9,5,6,7,8,8,9,4,5,6,7,9,10,8,9,8,8,8,7,9,8,8,7,8,9,6,5,9,8,7,8,8,9,8,7,9,8,9,9,4,6,5,7,6,5,5,6,7,7,5,5,6,6,6,5,5,6,8,9,9,10,7,8,8,9,7,8,8,9,6,7,7,8,7,8,9,10,8,9,9,10,8,8,9,9,8,8,7,6,6,5,5,5,5,5,5,5,5,5,5,4,6,6,5,4,5,4,4,3,4,3,4,4,5,4,3,2,6,5,7,6,3,2,5,5,6,7,6,6,6,7
child_31,0,7,U9,midfielder,medium,neutral,average,none,low,neutral,60,28,6,7,8,9,5,6,6,7,7,8,5,6,6,7,5,9,4,8,6,7,6,7,5,7,5,6,5,7,6,6,6,8,6,8,5,7,6,7,5,7,5,8,6,7,7,7,5,6,6,7,7,8,4,5,5,6,5,6,5,6,6,8,6,8,5,7,6,7,6,8,6,7,6,7,5,6,4,5,5,8,5,6,4,7,6,7,5,8,5,7,5,5,5,6,4,5,5,6,4,5,4,5,5,5,6,6,5,5,5,5,3,4,2,3,5,6,4,5,3,4,3,4,5,6,3,4,4,5,4,5,5,6,5,6
child_32,0,8,U10,midfielder,high,neutral,average,none,medium,neutral,57,65,9,10,7,8,6,7,6,8,8,9,7,6,10,10,6,7,5,6,6,7,7,8,6,7,7,8,7,8,7,6,8,9,6,8,5,6,7,7,5,8,6,8,7,7,6,6,6,6,8,8,9,9,5,5,6,7,7,8,5,6,8,9,7,9,10,10,7,8,6,6,9,9,6,7,5,6,5,5,7,8,5,6,6,7,7,7,6,7,8,8,6,5,7,6,6,5,5,5,6,6,5,5,5,5,6,7,6,5,5,5,5,4,5,5,6,6,6,5,5,4,6,5,7,8,5,4,5,5,6,6,6,7,7,8
child_33,0,8,U9,mixed,medium,good,average,none,medium,excited,46,84,8,8,7,7,6,5,7,9,9,10,7,6,8,9,9,9,9,8,8,9,7,8,9,9,8,8,8,9,7,7,8,8,9,9,8,8,8,7,9,9,9,9,7,8,6,7,7,7,8,8,9,9,7,6,8,8,9,8,9,8,8,9,9,9,8,9,8,8,7,8,8,8,7,7,7,7,6,6,9,10,8,8,8,9,7,7,8,8,8,8,6,5,7,6,5,5,6,5,5,5,5,5,6,6,7,7,6,6,6,6,5,5,5,5,6,6,5,5,4,4,5,5,7,7,5,5,6,6,8,8,7,7,7,7
child_34,0,7,U10,goalkeeper,low,good,strong,mild,low,happy,47,75,8,9,9,10,8,8,7,9,6,7,9,10,5,6,6,8,5,7,8,9,7,8,8,9,7,8,8,9,9,10,7,8,8,9,7,8,7,8,9,10,8,9,9,10,7,8,7,8,9,10,9,10,8,9,7,8,8,9,8,9,6,7,7,8,5,6,6,7,8,9,6,7,7,8,5,6,4,5,6,8,5,7,6,8,6,7,7,8,7,8,5,6,8,9,9,10,8,9,7,8,9,10,6,7,8,9,7,8,7,8,5,6,6,7,8,9,6,7,4,5,6,7,8,9,5,6,7,8,9,10,8,9,9,10
child_35,0,9,U7,mixed,high,good,average,none,low,excited,57,72,9,8,10,10,8,7,7,9,8,9,10,10,9,8,10,10,9,9,8,9,9,8,9,8,8,8,8,9,9,9,8,8,10,9,9,9,8,8,9,9,10,10,8,9,9,8,9,8,10,9,10,10,9,8,8,7,10,10,10,10,8,9,9,10,9,9,8,8,7,8,8,9,8,8,7,6,6,6,10,10,9,9,10,10,8,8,9,9,9,8,8,7,9,8,10,9,10,9,8,7,9,8,7,6,9,8,7,6,7,6,6,5,5,4,6,5,6,5,5,4,6,5,10,9,5,4,9,8,10,9,8,7,9,8
child_36,0,8,U7,midfielder,high,good,strong,mild,high,happy,43,100,10,9,10,10,8,7,6,8,9,10,10,8,10,10,7,9,6,7,9,10,8,10,9,9,8,9,7,10,9,9,8,8,10,9,7,8,9,8,10,10,10,10,9,10,8,9,9,8,10,10,10,10,8,7,9,8,10,9,10,9,8,9,9,10,10,10,9,9,7,8,10,10,9,8,7,6,6,5,7,8,6,7,7,8,8,8,9,9,8,8,6,5,8,7,9,8,10,9,6,5,7,6,7,6,9,10,8,7,7,6,5,4,6,5,9,8,8,7,4,3,6,5,9,10,7,6,8,8,10,9,8,7,9,8
child_37,0,8,U9,defender,medium,good,average,none,medium,excited,31,95,9,9,10,10,8,7,9,8,8,9,7,6,10,10,9,10,9,9,8,10,8,10,9,10,8,9,9,10,8,10,9,9,9,10,8,9,8,8,9,10,9,10,7,8,8,9,7,8,8,9,8,9,7,8,8,9,9,9,9,9,9,9,9,10,10,10,8,9,9,9,9,10,8,7,8,7,7,6,10,10,9,9,9,10,8,8,9,10,8,9,8,7,9,8,7,6,7,6,6,5,6,5,6,5,8,7,6,5,6,5,5,4,5,4,7,6,6,5,5,4,6,5,9,9,6,5,8,7,8,7,7,6,8,7
child_38,0,7,U9,goalkeeper,low,neutral,average,none,medium,happy,30,56,8,9,7,7,6,6,7,8,7,9,6,6,9,10,7,9,6,8,6,7,6,7,7,8,6,8,7,8,6,7,7,8,8,9,6,8,5,6,7,8,8,9,7,8,7,7,7,7,7,8,8,9,6,6,7,8,7,8,7,8,8,9,7,9,9,10,8,9,7,8,8,9,7,8,6,7,5,6,6,8,6,7,6,8,7,8,7,9,6,8,6,5,7,7,7,6,7,6,5,5,5,5,5,4,6,6,6,5,6,5,4,3,5,4,7,8,6,5,4,3,5,5,6,7,4,3,5,6,7,8,6,7,6,7
